SiteNumber,SiteLongit,SiteLatitu,Flow accumulation,Distance to sea,Slope,TWI,Curvature,Upstream Area,Altitude,Distance to storm track,Soil moisture,Wind speed,Rain,Storm surge,Mean_Gage_height,Max_Gage_height
1396660,-74.968889,40.6475,465465,0.716333,5.11274,15.45351,18871500000,29894900,280.25,0.641512,0.42108,27.8623,0.009039,2.18906,2.062569,5.04
1396800,-74.915556,40.64,3504870,0.662708,16.0646,16.31111,7835590000,106140000,193.5,0.619649,0.42108,27.9311,0.00867,2.11373,1.948958,5.35
1397000,-74.868056,40.572222,4716190,0.603154,1.00921,19.350253,3672630000,378085000,125.01,0.54143,0.428718,27.8757,0.010073,2.09622,4.524583,14.99
1398102,-74.696389,40.546944,8642640,0.429636,5.13839,18.369961,-26336100000,664301000,45.54,0.469964,0.428718,28.1359,0.00476,1.72021,3.993191,22.4
1399100,-74.681667,40.649444,2032500,0.442174,1.61953,18.055844,707714000,17784000,95,0.564476,0.42379,28.0355,0.000919,1.60501,7.688854,12.75
1399670,-74.773611,40.619444,568744,0.520064,2.47402,16.370066,3199200000,44569500,121.5,0.560889,0.428718,28.1125,0.00633,1.83126,3.456667,9.99
1399780,-74.686667,40.634722,5514160,0.441608,7.32253,17.566884,8345810000,278343000,70,0.551693,0.42379,28.0204,0.00054,1.649,4.941562,16.79
1399830,-74.673889,40.6,5873410,0.418765,3.73645,18.299421,497689000,469168000,56.94,0.514797,0.428718,28.034,0.000809,1.64054,4.954896,21.12
1400000,-74.679167,40.570556,6327900,0.416809,10.923,17.300448,10213300000,507000000,50.43,0.487935,0.428718,28.1064,0.002868,1.66883,4.185937,19.5
1400010,-74.6875,40.556667,15010600,0.422386,9.40288,18.316423,41565000000,511449000,46.03,0.47687,0.428718,28.1255,0.003793,1.72021,3.337708,20.2
1400360,-74.615833,40.575,242482,0.356165,0.418996,17.188619,-758577000,19042400,42.5,0.47481,0.430111,28.26,0.00492,1.53034,4.000833,13.16
1403150,-74.590833,40.612222,123125,0.344013,2.43377,14.855884,-2095680000,5453700,240.48,0.503732,0.430111,28.3986,0.006956,1.46301,3.422674,5.59
1379000,-74.528889,40.68,1753030,0.323183,26.2829,15.080338,-2228590000,140703000,215.6,0.551884,0.428673,29.0851,0.018567,1.31267,5.452292,8.86
1400500,-74.582778,40.555556,15809200,0.319436,0.952553,20.614442,-693013000,1272270000,20.61,0.447032,0.430111,28.6215,0.010692,1.47573,5.517083,27.66
1402540,-74.588333,40.529722,7330140,0.32023,1.69474,19.294672,4813200000,550519000,21.9,0.423719,0.430111,28.6321,0.011527,1.52362,3.224792,23.75
1403060,-74.548333,40.551111,23365900,0.284881,10.5514,18.642008,-56124000000,1879840000,0,0.433296,0.430111,28.9341,0.015125,1.40925,19.176562,42.13
1403200,-74.548889,40.560833,550403,0.287833,1.21914,17.022417,-4702150000,43753600,20.47,0.442797,0.430111,28.9107,0.014687,1.39729,7.739792,20.66
1403400,-74.403889,40.666111,205673,0.224583,10.6312,13.901594,-9595960000,16555600,184.44,0.50419,0.428673,30.7204,0.038016,1.08975,3.078229,6.54
1403540,-74.451389,40.636389,177404,0.235379,10.7025,13.746931,-12495300000,13990600,162.24,0.48866,0.428673,30.0442,0.02906,1.18011,11.042292,13.77
1403570,-74.436111,40.621944,227262,0.214393,1.94454,15.687648,8225310000,17668100,71.69,0.470574,0.430111,30.3077,0.031519,1.15683,2.282235,6.52
1403600,-74.4575,40.601944,338015,0.21998,8.66617,14.605439,-38420200000,27226300,43.85,0.45722,0.430111,30.0629,0.028765,1.19274,2.914479,11.86
1403900,-74.507778,40.585,558514,0.256839,2.38489,16.387804,-2670980000,44996400,26.52,0.45474,0.430111,29.3189,0.019906,1.29174,3.097292,14.11
1393450,-74.221944,40.675,612733,0.158412,1.0022,17.316022,-259442000,43865800,0,0.462752,0.392925,34.8432,0.037445,0.833191,15.9275,27.84
1394500,-74.311667,40.6875,812221,0.200498,3.71457,16.326804,-16100700000,64145400,66.17,0.49942,0.392925,31.9409,0.042364,0.937824,2.798125,10.81
1394620,-74.313056,40.673056,1008720,0.187282,3.54919,16.588426,16697400000,78733000,57.16,0.485913,0.392925,32.0986,0.042614,0.937824,4.848021,13.65
